#DataThief \\file\Usersi$\ids29\Home\Desktop\S2023 Fig (1) - bottom panel.png Monday 20-Nov-2023 6:51:33 PM
-9.8506, 8428.5575
-9.8392, 8346.2932
-9.8277, 8346.3266
-9.822, 8346.3433
-9.8106, 8264.8813
-9.7991, 8264.9144
-9.7877, 8184.2472
-9.782, 8184.2636
-9.7706, 8184.2964
-9.7591, 8104.416
-9.7477, 8104.4484
-9.742, 8025.3313
-9.7305, 8025.3634
-9.7191, 7947.0343
-9.7077, 7947.0661
-9.702, 7947.082
-9.6905, 7869.5169
-9.6791, 7869.5484
-9.6677, 7792.74
-9.662, 7792.7556
-9.6505, 7716.6968
-9.6391, 7716.7277
-9.6277, 7641.4108
-9.6219, 7641.4262
-9.6105, 7641.4567
-9.5991, 7566.8746
-9.5876, 7566.9049
-9.5819, 7493.0354
-9.5705, 7493.0654
-9.5591, 7419.9315
-9.5476, 7347.5114
-9.5419, 7347.5262
-9.5305, 7347.5556
-9.5191, 7275.842
-9.5076, 7204.8283
-9.5019, 7204.8428
-9.4905, 7134.522
-9.479, 7134.5506
-9.4676, 7064.9159
-9.4619, 7064.9301
-9.4505, 6995.9748
-9.439, 6996.003
-9.4276, 6927.7206
-9.4219, 6927.7344
-9.4104, 6860.1183
-9.399, 6860.1458
-9.3876, 6793.1894
-9.3819, 6793.203
-9.3704, 6726.9
-9.359, 6661.2441
-9.3476, 6661.2708
-9.3418, 6596.2422
-9.3304, 6596.2686
-9.319, 6531.8877
-9.3075, 6468.1351
-9.3018, 6468.1481
-9.2904, 6405.0176
-9.279, 6342.5034
-9.2676, 6280.5992
-9.2618, 6280.6118
-9.2504, 6219.3118
-9.2389, 6219.3367
-9.2275, 6158.6347
-9.2218, 6158.647
-9.2104, 6098.5373
-9.199, 6039.0144
-9.1875, 5980.0724
-9.1818, 5980.0844
-9.1703, 5921.7176
-9.1589, 5921.7412
-9.1475, 5863.9439
-9.1418, 5806.6989
-9.1304, 5750.0244
-9.1189, 5693.903
-9.1075, 5693.9258
-9.1018, 5638.3406
-9.0904, 5583.3093
-9.0789, 5528.815
-9.0675, 5474.8527
-9.0618, 5474.8637
-9.0504, 5421.4279
-9.0389, 5368.5135
-9.0275, 5316.1158
-9.0218, 5316.1265
-9.0103, 5264.24
-8.9989, 5212.8599
-8.9875, 5161.9814
-8.9818, 5161.9917
-8.9703, 5111.6096
-8.9588, 5061.7193
-8.9475, 5012.3159
-8.9418, 4963.3847
-8.9303, 4914.9411
-8.9189, 4866.9702
-8.9075, 4819.4676
-8.9017, 4819.4773
-8.8902, 4772.4382
-8.8789, 4679.7141
-8.8675, 4634.0392
-8.8617, 4634.0485
-8.8502, 4544.0132
-8.8389, 4499.6627
-8.8274, 4455.745
-8.8216, 4455.754
-8.8103, 4369.1828
